SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VK2/CT-039,Australia - NSW,Central Tablelands,McDonalds Mountain,1030,3379,149.9846,-33.0439,149.9846,-33.0439,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-040,Australia - NSW,Central Tablelands,Mount Marsden,1020,3346,150.0498,-32.932,150.0498,-32.9320,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-041,Australia - NSW,Central Tablelands,Pantoneys Crown,1020,3346,150.092,-33.1857,150.0920,-33.1857,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-042,Australia - NSW,Central Tablelands,Mount Meehan,1017,3337,149.1431,-33.0945,149.1431,-33.0945,6,0,01/09/2013,31/12/2099,10,17/07/2016,VK2AOH,
VK2/CT-043,Australia - NSW,Central Tablelands,Mt Tomah,1010,3314,150.4222,-33.557,150.4222,-33.5570,6,0,01/09/2013,31/12/2099,56,14/07/2019,VK/ZL2AJ,
VK2/CT-044,Australia - NSW,Central Tablelands,Mt Touwouwan,1009,3310,150.1915,-32.8196,150.1915,-32.8196,6,0,01/09/2013,31/12/2099,1,22/11/2015,VK2AOH,
VK2/CT-045,Australia - NSW,Central Tablelands,Mount Knowles,1004,3294,149.712,-32.6459,149.7120,-32.6459,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-046,Australia - NSW,Central Tablelands,Mount Wells,1002,3287,149.2192,-34.1232,149.2192,-34.1232,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-047,Australia - NSW,Central Tablelands,VK2/CT-047,1000,3281,149.6403,-32.7327,149.6403,-32.7327,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-048,Australia - NSW,Central Tablelands,VK2/CT-048,1000,3281,150.1907,-32.9442,150.1907,-32.9442,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-049,Australia - NSW,Central Tablelands,Haystack Mountain,984,3228,149.9657,-32.9143,149.9657,-32.9143,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-050,Australia - NSW,Central Tablelands,Bald Mountain,983,3225,150.0175,-32.6911,150.0175,-32.6911,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-051,Australia - NSW,Central Tablelands,VK2/CT-051,980,3215,150.2305,-33.162,150.2305,-33.1620,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-052,Australia - NSW,Central Tablelands,VK2/CT-052,970,3182,149.7859,-32.681,149.7859,-32.6810,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-053,Australia - NSW,Central Tablelands,VK2/CT-053,970,3182,149.4565,-33.2431,149.4565,-33.2431,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-054,Australia - NSW,Central Tablelands,VK2/CT-054,960,3150,150.1738,-32.9612,150.1738,-32.9612,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-055,Australia - NSW,Central Tablelands,Donkey Mountain,960,3150,150.1902,-33.2382,150.1902,-33.2382,6,0,01/09/2013,31/12/2099,3,20/12/2016,VK2JDL/P,
VK2/CT-056,Australia - NSW,Central Tablelands,Mt Solitary,960,3150,150.3079,-33.7797,150.3079,-33.7797,6,0,01/09/2013,31/12/2099,6,06/04/2019,VK2GPL/P,
VK2/CT-057,Australia - NSW,Central Tablelands,Mount Warrigal,955,3133,150.2244,-33.8347,150.2244,-33.8347,6,0,01/09/2013,31/12/2099,1,02/09/2018,VK2GPL/P,
VK2/CT-058,Australia - NSW,Central Tablelands,VK2/CT-058,940,3084,150.1107,-32.617,150.1107,-32.6170,6,0,01/09/2013,31/12/2099,0,,,
