Latitude,Longitude,Elevation,SaddleLatitude,SaddleLongitude,Prominence
-12.435,142.9608,990,-12.4592,142.8942,574
-12.4567,133.0433,748,-12.4392,133.0625,680
-12.465,143.2517,1397,-12.51,143.1592,1181
-12.4858,143.2242,1351,-12.4725,143.235,505
-12.5242,132.9208,688,-12.5333,132.9375,501
-12.5258,133.1383,1217,-12.5558,133.2567,607
-12.53,132.9908,925,-12.6525,133.0067,778
-12.5425,143.1617,849,-12.5358,143.1125,580
-12.5775,142.9908,1059,-12.7858,142.9208,781
-12.5792,143.1842,734,-12.5817,143.1917,577
-12.6017,143.3633,1105,-12.6208,143.3267,817
-12.6292,133.0875,902,-12.6967,133.105,535
-12.6683,143.1758,1338,-12.655,143.1792,535
-12.67,143.22,1555,-12.6892,143.1967,1070
-12.68,143.1533,1253,-12.6683,143.1667,535
-12.7058,143.1408,987,-12.7033,143.1517,564
-12.71,143.1992,1318,-12.7108,143.205,777
-12.7108,143.2183,1591,-12.7208,143.1942,1178
-12.7492,133.0175,685,-12.7658,133.0225,541
-12.7525,143.21,1765,-12.9758,143.2417,1017
-12.765,132.9208,974,-12.8092,132.9567,784
-12.7883,143.0683,1197,-12.7933,143.0792,692
-12.7925,132.98,1325,-12.8125,132.9825,587
-12.83,143.0558,1213,-12.8475,143.0567,541
-12.8608,132.8133,833,-12.8483,132.86,505
-12.9625,143.4508,1023,-12.995,143.455,804
-12.9883,133.1175,1804,-13.0108,133.0742,846
-12.9958,143.0733,1437,-13.0333,143.1725,594
-12.9975,133.0808,1702,-12.9483,133.0875,571
-13.0158,132.9542,1522,-12.9592,133.0217,519
-13.0308,133.0717,1630,-13.0375,133.0775,554
-13.0417,133.08,1811,-15.0683,132.5917,1231
-13.0467,143.4558,1578,-13.0683,143.4642,1382
-13.0608,143.2425,2198,-13.3025,143.3758,1513
-13.0908,142.9692,1013,-13.0742,142.9967,502
-13.0958,143.1417,1430,-13.0933,143.1883,705
-13.0992,132.9133,885,-13.1092,132.9133,692
-13.1017,133.1517,872,-13.1008,133.1625,515
-13.1133,143.2258,1476,-13.1133,143.2775,594
-13.1275,143.4792,1062,-13.165,143.4683,544
-13.1667,132.4833,833,-13.155,132.5025,587
-13.1667,143.3067,1751,-13.0592,143.2667,912
-13.1775,132.3317,767,-13.2192,132.3817,567
-13.1775,143.1092,1318,-13.2083,143.1417,643
-13.195,143.4542,1364,-13.22,143.4583,1066
-13.2092,132.8025,1013,-13.2192,132.8175,722
-13.2175,132.2733,675,-13.2108,132.2883,505
-13.2283,143.0267,1351,-13.27,143.0667,659
-13.2367,135.445,1181,-13.6942,134.9942,837
-13.245,143.4667,1469,-13.2883,143.4575,1223
-13.2558,131.7325,833,-13.26,131.7525,522
-13.275,143.2658,1414,-13.2917,143.2758,548
-13.3167,143.2875,1709,-13.23,143.3258,912
-13.3217,143.4767,1496,-13.3733,143.4842,1067
-13.3317,143.0517,1387,-13.2325,143.1042,794
-13.3908,143.4942,1640,-13.3425,143.4583,1253
-13.4267,133.3925,1564,-13.015,133.1992,692
-13.4325,143.2758,1587,-13.5117,143.3217,580
-13.4433,132.3508,902,-13.4542,132.34,548
-13.4633,132.3808,856,-13.4683,132.3767,542
-13.48,143.5342,1046,-13.4617,143.5308,771
-13.4817,132.4308,898,-13.4992,132.4175,505
-13.5375,132.5625,990,-13.53,132.61,662
-13.55,143.1367,1450,-13.5558,143.2183,857
-13.56,143.5125,1066,-13.585,143.485,981
-13.5658,143.2433,1276,-13.5708,143.2642,601
-13.6575,132.5158,1322,-13.6417,132.8075,578
-13.7733,143.3217,2667,-15.3258,143.4675,2202
-13.8408,143.1258,1607,-13.8833,143.1475,686
-13.8675,130.8692,836,-13.785,130.9225,564
-13.8783,143.2008,1561,-13.8717,143.21,603
-13.8808,130.6542,836,-13.8775,130.61,695
-13.9092,130.2667,725,-14.1408,130.2267,545
-13.9142,143.1617,1853,-13.8933,143.1808,1069
-13.9167,143.3108,2395,-13.8983,143.3117,519
-13.9575,143.2242,1676,-13.9342,143.2517,499
-13.9583,136.6417,639,-15,137,639
-13.9675,143.1925,1414,-13.9742,143.1933,624
-13.9867,143.1958,1450,-13.9808,143.2167,614
-14.0275,143.15,1456,-14.0233,143.1992,646
-14.0358,143.2317,1282,-14.0208,143.235,512
-14.0658,130.6308,879,-14.0942,130.6383,588
-14.0817,143.18,1433,-14.0375,143.1817,512
-14.0925,130.6333,856,-14.085,130.6283,512
-14.1083,130.5825,816,-14.1283,130.57,538
-14.1142,126.1483,551,-14.1458,126.1758,519
-14.1475,144.2583,600,-14.1783,144.2783,600
-14.1883,144.2667,987,-14.1425,144.2717,987
-14.19,142.9467,1354,-14.0842,143.0792,659
-14.1933,144.5008,1220,-14.2058,144.5033,627
-14.2108,144.2267,583,-14.2242,144.2483,583
-14.2183,144.5,1286,-14.2258,144.5017,650
-14.2317,144.2708,633,-14.2117,144.28,633
-14.2508,144.5425,1010,-14.24,144.5308,581
-14.2583,143.3817,1397,-14.32,143.25,617
-14.2608,144.5617,1013,-14.2508,144.5708,653
-14.2742,143.0008,1361,-14.2167,143.0075,722
-14.285,144.495,1952,-14.345,144.5433,1792
-14.2958,144.3967,1384,-14.49,144.4267,1109
-14.3125,144.4783,1870,-14.3058,144.485,548
-14.3133,126.0075,721,-14.2175,126.0817,721
-14.3333,144.3942,1030,-14.3175,144.3933,748
-14.3342,144.2792,1135,-14.4275,144.3158,1011
-14.3925,144.2567,846,-14.3875,144.2692,502
-14.4333,126.7183,882,-14.505,126.8308,564
-14.4342,143.3308,1361,-14.3808,143.4075,600
-14.4417,125.9925,587,-14.4258,126.0092,587
-14.4542,143.0808,1351,-14.4742,143.06,505
-14.4808,144.4983,1722,-14.5617,144.445,1513
-14.49,143.025,1496,-14.1492,143.2542,801
-14.4958,125.4625,574,-14.5067,125.4,574
-14.5025,144.13,528,-14.5283,144.1508,509
-14.5092,144.4517,1197,-14.5058,144.4692,810
-14.5183,144.6267,2004,-14.7117,144.5808,1693
-14.5275,129.7508,626,-14.5008,129.7617,567
-14.5325,144.6492,1791,-14.53,144.6417,519
-14.5575,144.6358,1860,-14.545,144.65,637
-14.5783,125.4383,498,-14.5442,125.3858,498
-14.58,127.7833,977,-14.765,127.8575,531
-14.6,144.5883,1190,-14.59,144.6017,830
-14.6183,144.4992,826,-14.6617,144.5175,561
-14.6658,145.4633,1141,-15,146,1141
-14.6692,128.0875,711,-14.745,128.0783,584
-14.685,144.6567,1040,-14.6917,144.6667,512
-14.6967,144.7433,1354,-14.7075,144.7633,505
-14.7217,144.6867,1295,-14.7267,144.7033,505
-14.7242,144.7667,1669,-15.4167,144.9075,1266
-14.7392,144.7242,1502,-14.7325,144.7375,735
-14.745,145.5108,583,-14.6967,145.4808,583
-14.7517,130.0725,682,-14.6733,130.1092,525
-14.7967,144.8083,816,-14.7842,144.8092,492
-14.7992,144.7567,1227,-14.9108,144.7825,624
-14.8142,144.8825,1473,-14.8425,144.8983,663
-14.8558,126.7258,984,-14.8683,126.7292,522
-14.8717,144.9092,1656,-14.8333,144.7167,1233
-14.8742,145.0217,1220,-14.8808,145.035,751
-14.8833,128.0292,866,-14.8875,128.02,522
-14.8867,129.7483,590,-14.9417,129.7508,564
-14.9017,130.0017,833,-14.95,129.9967,624
-14.9025,130.0467,869,-14.9133,130.0425,666
-14.9192,130.0558,889,-15.0467,129.9717,607
-14.9217,130.7858,944,-14.9067,130.7625,554
-14.9317,145.0575,1473,-14.9425,145.0842,794
-14.9483,125.4175,1568,-14.9567,125.56,745
-14.9558,145.3442,816,-14.9717,145.3108,774
-14.9567,125.51,1315,-14.9642,125.53,581
-14.9583,125.4517,1286,-14.9517,125.4417,512
-14.9583,130.8458,889,-14.9325,130.8467,607
-14.9633,125.425,1397,-14.9508,125.4283,548
-15.0167,125.3917,1115,-15.0058,125.3908,597
-15.0192,125.3583,528,-15.0092,125.3467,528
-15.0333,145.0983,908,-15.0467,145.0883,515
-15.0467,129.7525,967,-15.0733,129.8433,751
-15.0558,130.5933,1017,-15.04,130.5858,748
-15.0583,125.3958,715,-15.0508,125.4083,653
-15.0625,145.0792,1017,-15.0208,145.0917,673
-15.0667,129.9008,994,-15.0083,130.0642,860
-15.0792,125.2,748,-15.0342,125.2767,748
-15.0817,145.0133,1062,-15.06,145.0342,636
-15.0942,129.805,935,-15.1167,129.7675,499
-15.0958,129.9383,810,-15.0958,129.9592,512
-15.1058,125.0675,964,-15.1617,125.0975,604
-15.1067,125.435,833,-15.0983,125.4608,509
-15.1158,128.1292,777,-15.1617,128.1383,777
-15.1425,124.975,564,-15.1517,124.9867,492
-15.155,125.2608,1135,-15.2858,125.245,555
-15.1692,129.9133,990,-15.095,129.975,771
-15.1708,145.18,869,-15.2067,145.1658,614
-15.1758,125.3683,905,-15.2058,125.3625,715
-15.1783,130.8183,1026,-15.215,130.85,636
-15.1825,128.0042,1013,-15.115,127.9833,649
-15.1867,124.9983,620,-15.1667,125.0008,588
-15.2025,128.1367,810,-15.3008,128.2475,801
-15.2075,125.3975,908,-15.21,125.4,521
-15.2108,130.0008,1043,-15.1642,130.0908,876
-15.215,125.0358,652,-15.27,125.0558,502
-15.2158,125.3667,1017,-15.2275,125.3742,650
-15.2292,125.0125,685,-15.235,125.025,571
-15.2292,130.8025,961,-15.2158,130.8,492
-15.2292,130.5258,1131,-15.2108,130.5125,954
-15.2342,145.3383,816,-15.2692,145.3292,767
-15.2367,128.2667,544,-15.2533,128.2942,535
-15.2483,130.99,1167,-15.4842,131.4967,492
-15.2483,124.9833,675,-15.2492,125.0075,574
-15.2483,130.4533,1154,-14.9033,130.755,735
-15.2642,145.3483,705,-15.2467,145.3425,650
-15.265,145.1142,898,-15.1992,145.1483,646
-15.2767,130.0767,872,-15.2883,130.0733,590
-15.2783,125.07,1292,-15.2208,125.0683,1204
-15.2808,125.14,1053,-15.2667,125.1392,693
-15.2908,145.2192,810,-15.2908,145.2292,640
-15.2917,128.4492,912,-15.3133,128.4517,578
-15.2917,130.0633,882,-15.3075,130.0617,505
-15.2933,125.5867,1151,-15.3092,125.6025,522
-15.2942,128.8,843,-15.2608,128.6783,607
-15.2958,128.5208,882,-15.3167,128.505,541
-15.2975,130.3625,987,-15.2975,130.3308,830
-15.3033,129.4825,823,-15.3242,129.5167,689
-15.3033,125.0675,1112,-15.2967,125.0633,830
-15.3067,130.335,898,-15.2992,130.3475,738
-15.3067,128.4492,898,-15.2958,128.4458,554
-15.3083,145.2567,725,-15.315,145.2642,502
-15.3125,127.815,1233,-15.3908,127.7208,574
-15.3125,124.9917,790,-15.2633,125.0142,686
-15.3158,145.1358,1085,-15.3217,145.1508,492
-15.3192,145.0833,1318,-15.3242,145.0533,705
-15.3217,128.4875,1049,-15.545,128.7283,945
-15.3225,129.9358,839,-15.3308,129.9508,548
-15.3258,124.5725,590,-15.33,124.6833,590
-15.3358,124.7017,692,-15.3592,124.7483,643
-15.3467,125.6992,1227,-15.34,125.6892,493
-15.3492,145.2792,1125,-15.3633,145.28,660
-15.3575,124.9592,498,-15.3358,124.8583,498
-15.36,129.6333,1089,-15.455,129.4842,735
-15.3675,125.0117,912,-15.3092,125.0258,912
-15.375,145.28,1125,-15.2892,145.245,916
-15.3775,145.0958,1066,-15.3567,145.0992,568
-15.3792,145.1992,1017,-15.3692,145.1933,781
-15.395,135.7267,761,-15.4867,135.7,581
-15.4,130.1533,620,-15.3925,130.1592,584
-15.4,144.9708,1486,-15.1767,145.0033,1017
-15.4083,145.2417,1141,-15.3792,145.265,984
-15.4117,128.5775,964,-15.3692,128.5258,633
-15.4175,128.5558,836,-15.4125,128.5575,551
-15.4175,130.825,1026,-15.3208,130.8908,505
-15.4433,130.695,908,-15.34,130.7667,587
-15.4467,128.6883,820,-15.4375,128.6317,512
-15.4492,128.8825,633,-15.4617,128.8675,545
-15.4508,128.1625,1158,-15.5442,128.19,1126
-15.4567,124.9925,777,-15.4367,124.9708,666
-15.4625,129.3233,705,-15.455,129.335,522
-15.4658,128.2508,820,-15.4575,128.1992,791
-15.4683,129.225,728,-15.4475,129.25,522
-15.4708,128.9342,721,-15.5108,128.92,534
-15.4742,145.0375,1620,-15.4842,144.9375,1207
-15.475,130.1133,994,-15.4717,130.095,801
-15.4892,130.0933,905,-15.4725,130.0608,705
-15.4908,145.2642,1391,-15.5008,145.1617,1287
-15.4967,124.905,925,-15.5742,124.9983,706
-15.5025,145.1242,813,-15.5025,145.1125,535
-15.5033,128.7758,859,-15.4933,128.7575,728
-15.5075,125.44,1804,-15.52,125.5208,518
-15.5325,144.9342,1256,-15.5542,144.9592,610
-15.5408,128.8275,846,-15.5567,128.845,623
-15.5417,144.89,1079,-15.5325,144.9,656
-15.5433,128.505,1227,-15.5433,128.5408,1175
-15.5475,128.5708,990,-15.5392,128.5975,908
-15.5575,125.2733,1220,-15.525,125.2908,515
-15.5583,130.9208,889,-15.5517,130.92,594
-15.56,129.0858,692,-15.5542,129.1008,496
-15.5642,128.8717,948,-15.6258,128.8367,761
